date,amount,category,subcategory,merchant,description,is_recurring
2023-01-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2023-01-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2023-01-02,40.00,Health,Gym,Gym,Gym subscription,1
2023-01-02,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2023-01-03,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2023-01-03,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2023-01-10,26.67,Food,Eating Out,Fast Food,Eating out,0
2023-01-11,40.00,Food,Groceries,Edeka,Groceries,0
2023-01-12,26.67,Food,Eating Out,Cafe,Eating out,0
2023-01-13,47.74,Shopping,Clothes,Clothing Store,Bought clothes,0
2023-01-15,40.00,Food,Groceries,Edeka,Groceries,0
2023-01-17,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2023-01-17,26.67,Food,Eating Out,Fast Food,Eating out,0
2023-01-25,40.00,Food,Groceries,Aldi,Groceries,0
2023-01-26,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2023-02-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2023-02-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2023-02-03,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2023-02-04,40.00,Health,Gym,Gym,Gym subscription,1
2023-02-05,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2023-02-06,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2023-02-08,29.48,Health,Supplements,Nutrition Store,Protein powder,0
2023-02-09,16.00,Food,Eating Out,Delivery,Eating out,0
2023-02-11,30.06,Entertainment,Games,Steam/Store,Bought games,0
2023-02-14,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2023-02-16,16.00,Food,Eating Out,Fast Food,Eating out,0
2023-02-17,40.00,Food,Groceries,Aldi,Groceries,0
2023-02-21,16.00,Food,Eating Out,Cafe,Eating out,0
2023-02-22,40.00,Food,Groceries,Aldi,Groceries,0
2023-02-24,16.00,Food,Eating Out,Cafe,Eating out,0
2023-02-25,16.00,Food,Eating Out,Fast Food,Eating out,0
2023-02-27,40.00,Food,Groceries,Lidl,Groceries,0
2023-02-28,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2023-03-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2023-03-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2023-03-01,30.00,Food,Groceries,Kaufland,Groceries,0
2023-03-03,40.00,Health,Gym,Gym,Gym subscription,1
2023-03-04,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2023-03-04,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2023-03-04,13.33,Food,Eating Out,Restaurant,Eating out,0
2023-03-05,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2023-03-07,13.33,Food,Eating Out,Fast Food,Eating out,0
2023-03-10,30.00,Food,Groceries,REWE,Groceries,0
2023-03-14,257.00,Insurance,Health Insurance,Health Insurer,Health insurance premium,1
2023-03-14,30.00,Food,Groceries,REWE,Groceries,0
2023-03-17,13.33,Food,Eating Out,Cafe,Eating out,0
2023-03-18,13.33,Food,Eating Out,Restaurant,Eating out,0
2023-03-22,30.00,Food,Groceries,Lidl,Groceries,0
2023-03-25,13.33,Food,Eating Out,Fast Food,Eating out,0
2023-03-28,63.00,Transport,Public Transit,DB / Local Transit,Deutschlandticket,1
2023-03-28,13.33,Food,Eating Out,Fast Food,Eating out,0
2023-03-30,8.19,Health,Pharmacy,Pharmacy,Pharmacy/OTC,0
2023-04-01,40.00,Health,Gym,Gym,Gym subscription,1
2023-04-01,22.00,Subscriptions,AI,Claude,Claude Code subscription,1
2023-04-01,25.00,Subscriptions,AI,OpenAI,ChatGPT subscription,1
2023-04-03,10.00,Telecom,SIM,SIM Provider,SIM card plan,1
2023-04-03,366.90,Shopping,Electronics,Electronics Store,Electronics purchase,0
2023-04-04,40.00,Food,Groceries,REWE,Groceries,0
2023-04-07,100.00,Telecom,Internet,Vodafone,Vodafone home internet,1
2023-04-07,29.00,Telecom,Mobile,Vodafone,Vodafone mobile plan,1
2023-04-08,58.32,Gifts,Gift,Gift Shop,Gift purchase,0
2023-04-10,20.00,Food,Eating Out,Cafe,Eating out,0
